counts,emotion,percent
200,scared,0.11389521640091116
186,shocked,0.10592255125284739
160,sadness,0.09111617312072894
156,surprise,0.0888382687927107
95,confused,0.0541002277904328
69,upset,0.03929384965831435
61,disgust,0.034738041002277904
54,happiness,0.030751708428246014
53,excited,0.03018223234624146
50,worried,0.02847380410022779
39,shock,0.022209567198177675
32,none,0.018223234624145785
28,anger,0.015945330296127564
27,silly,0.015375854214123007
27,suprised,0.015375854214123007
19,fear,0.01082004555808656
18,concerned,0.010250569476082005
17,mad,0.00968109339407745
16,funny,0.009111617312072893
16,goofy,0.009111617312072893
16,frightened,0.009111617312072893
15,crying,0.008542141230068337
13,afraid,0.007403189066059226
13,unhappy,0.007403189066059226
13,uncomfortable,0.007403189066059226
13,unpleasant,0.007403189066059226
11,nervous,0.006264236902050114
11,disbelief,0.006264236902050114
