counts,emotion,percent
1412,happi,0.1019715461832888
1159,sad,0.08370044052863436
782,anger,0.0564743265689319
632,confus,0.04564165523218026
528,surpris,0.03813100310536578
500,disgust,0.03610890445583881
499,upset,0.036036686646927135
490,shock,0.035386726366722035
401,mad,0.028959341373582727
347,scare,0.025059579692352132
327,none,0.023615223514118582
303,excit,0.02188199610023832
296,silli,0.021376471437856575
278,content,0.020076550877446378
164,calm,0.01184372066151513
162,annoy,0.011699285043691774
161,goofi,0.011627067234780096
158,seriou,0.011410413808045064
157,unhappi,0.011338195999133386
131,bore,0.009460532967429769
126,worri,0.00909944392287138
125,funni,0.009027226113959702
122,unpleas,0.00881057268722467
121,frustrat,0.008738354878312992
117,supris,0.008449483642666282
109,cri,0.00787174117137286
109,smile,0.00787174117137286
101,uncomfort,0.007293998700079439
92,disappoint,0.006644038419874341
79,fear,0.005705206904022532
78,concern,0.005632989095110855
73,interest,0.005271900050552466
71,focus,0.005127464432729111
70,intrigu,0.005055246623817434
67,blank,0.0048385931970824
66,play,0.004766375388170723
66,tire,0.004766375388170723
65,stare,0.004694157579259045
60,curiou,0.004333068534700657
60,neutral,0.004333068534700657
57,pleas,0.004116415107965624
54,bad,0.0038997616812305913
52,cute,0.0037553260634072363
50,crazi,0.003610890445583881
50,confid,0.003610890445583881
46,guilti,0.0033220192099371704
44,displeas,0.0031775835921138153
44,pose,0.0031775835921138153
41,hate,0.0029609301653787824
41,hurt,0.0029609301653787824
37,distraught,0.002672058929732072
35,dislik,0.002527623311908717
35,weird,0.002527623311908717
34,ugli,0.002455405502997039
34,normal,0.002455405502997039
33,disbelief,0.0023831876940853614
32,afraid,0.002310969885173684
32,depress,0.002310969885173684
31,teeth,0.0022387520762620064
30,joy,0.0021665342673503284
28,quirki,0.0020220986495269734
28,gross,0.0020220986495269734
28,regret,0.0020220986495269734
27,lost,0.0019498808406152957
27,shook,0.0019498808406152957
27,cool,0.0019498808406152957
27,kid,0.0019498808406152957
26,young,0.0018776630317036181
26,distress,0.0018776630317036181
26,strang,0.0018776630317036181
25,question,0.0018054452227919404
24,anxiou,0.001733227413880263
24,sassi,0.001733227413880263
24,uninterest,0.001733227413880263
23,proud,0.0016610096049685852
23,tear,0.0016610096049685852
23,nervou,0.0016610096049685852
23,thrill,0.0016610096049685852
22,judgement,0.0015887917960569077
22,piss,0.0015887917960569077
