bipoc,female,adult,anger
bipoc,female,child,anger
bipoc,male,adult,anger
bipoc,male,child,anger
white,female,adult,anger
white,female,child,anger
white,male,adult,anger
white,male,child,anger
bipoc,female,adult,disgust
bipoc,female,child,disgust
bipoc,male,adult,disgust
bipoc,male,child,disgust
white,female,adult,disgust
white,female,child,disgust
white,male,adult,disgust
white,male,child,disgust
bipoc,female,adult,fear
bipoc,female,child,fear
bipoc,male,adult,fear
bipoc,male,child,fear
white,female,adult,fear
white,female,child,fear
white,male,adult,fear
white,male,child,fear
bipoc,female,adult,happiness
bipoc,female,child,happiness
bipoc,male,adult,happiness
bipoc,male,child,happiness
white,female,adult,happiness
white,female,child,happiness
white,male,adult,happiness
white,male,child,happiness
bipoc,female,adult,neutral
bipoc,female,child,neutral
bipoc,male,adult,neutral
bipoc,male,child,neutral
white,female,adult,neutral
white,female,child,neutral
white,male,adult,neutral
white,male,child,neutral
bipoc,female,adult,sadness
bipoc,female,child,sadness
bipoc,male,adult,sadness
bipoc,male,child,sadness
white,female,adult,sadness
white,female,child,sadness
white,male,adult,sadness
white,male,child,sadness
bipoc,female,adult,surprise
bipoc,female,child,surprise
bipoc,male,adult,surprise
bipoc,male,child,surprise
white,female,adult,surprise
white,female,child,surprise
white,male,adult,surprise
white,male,child,surprise
bipoc,female,adult,uncertain
bipoc,female,child,uncertain
bipoc,male,adult,uncertain
bipoc,male,child,uncertain
white,female,adult,uncertain
white,female,child,uncertain
white,male,adult,uncertain
white,male,child,uncertain
NA,NA,NA,attention
bipoc,female,adult,anger
bipoc,female,child,anger
bipoc,male,adult,anger
bipoc,male,child,anger
white,female,adult,anger
white,female,child,anger
white,male,adult,anger
white,male,child,anger
bipoc,female,adult,disgust
bipoc,female,child,disgust
bipoc,male,adult,disgust
bipoc,male,child,disgust
white,female,adult,disgust
white,female,child,disgust
white,male,adult,disgust
white,male,child,disgust
bipoc,female,adult,fear
bipoc,female,child,fear
bipoc,male,adult,fear
bipoc,male,child,fear
white,female,adult,fear
white,female,child,fear
white,male,adult,fear
white,male,child,fear
bipoc,female,adult,happiness
bipoc,female,child,happiness
bipoc,male,adult,happiness
bipoc,male,child,happiness
white,female,adult,happiness
white,female,child,happiness
white,male,adult,happiness
white,male,child,happiness
bipoc,female,adult,neutral
bipoc,female,child,neutral
bipoc,male,adult,neutral
bipoc,male,child,neutral
white,female,adult,neutral
white,female,child,neutral
white,male,adult,neutral
white,male,child,neutral
bipoc,female,adult,sadness
bipoc,female,child,sadness
bipoc,male,adult,sadness
bipoc,male,child,sadness
white,female,adult,sadness
white,female,child,sadness
white,male,adult,sadness
white,male,child,sadness
bipoc,female,adult,surprise
bipoc,female,child,surprise
bipoc,male,adult,surprise
bipoc,male,child,surprise
white,female,adult,surprise
white,female,child,surprise
white,male,adult,surprise
white,male,child,surprise
bipoc,female,adult,uncertain
bipoc,female,child,uncertain
bipoc,male,adult,uncertain
bipoc,male,child,uncertain
white,female,adult,uncertain
white,female,child,uncertain
white,male,adult,uncertain
white,male,child,uncertain
NA,NA,NA,attention
bipoc,female,adult,anger
bipoc,female,child,anger
bipoc,male,adult,anger
bipoc,male,child,anger
white,female,adult,anger
white,female,child,anger
white,male,adult,anger
white,male,child,anger
bipoc,female,adult,disgust
bipoc,female,child,disgust
bipoc,male,adult,disgust
bipoc,male,child,disgust
white,female,adult,disgust
white,female,child,disgust
white,male,adult,disgust
white,male,child,disgust
bipoc,female,adult,fear
bipoc,female,child,fear
bipoc,male,adult,fear
bipoc,male,child,fear
white,female,adult,fear
white,female,child,fear
white,male,adult,fear
white,male,child,fear
bipoc,female,adult,happiness
bipoc,female,child,happiness
bipoc,male,adult,happiness
bipoc,male,child,happiness
white,female,adult,happiness
white,female,child,happiness
white,male,adult,happiness
white,male,child,happiness
bipoc,female,adult,neutral
bipoc,female,child,neutral
bipoc,male,adult,neutral
bipoc,male,child,neutral
white,female,adult,neutral
white,female,child,neutral
white,male,adult,neutral
white,male,child,neutral
bipoc,female,adult,sadness
bipoc,female,child,sadness
bipoc,male,adult,sadness
bipoc,male,child,sadness
white,female,adult,sadness
white,female,child,sadness
white,male,adult,sadness
white,male,child,sadness
bipoc,female,adult,surprise
bipoc,female,child,surprise
bipoc,male,adult,surprise
bipoc,male,child,surprise
white,female,adult,surprise
white,female,child,surprise
white,male,adult,surprise
white,male,child,surprise
bipoc,female,adult,uncertain
bipoc,female,child,uncertain
bipoc,male,adult,uncertain
bipoc,male,child,uncertain
white,female,adult,uncertain
white,female,child,uncertain
white,male,adult,uncertain
white,male,child,uncertain
NA,NA,NA,attention
