emotion
sorpresa
tristeza
felicidad
enojo
miedo
asco
enfado
disgusto
asombro
triste
alegria
feliz
neutral
none
confusión
alegría
alegre
ira
incredulidad
seriedad
sorprendido
molesto
molestia
dolor
preocupación
sorprendida
desaprobación
molesta
desagrado
rabia
rechazo
tranquilidad
enojado
diversión
decepción
indiferencia
juego
negación
duda
enojada
contento
contenta
llanto
misterio
pena
confundido
temor
incertidumbre
aburrimiento
frustración
calma
asustado
asombrado
susto
concentración
desacuerdo
atento
desprecio
emoción
broma
asombrada
atentividad
apacible
sospecha
agresividad
atención
risueña
sereno
serenidad
euforia
descepción
confundida
desconfianza
inexpresivo
divertido
complicidad
emocionado
fastidio
aprobación
ingenua
intriga
confusion
divertida
dudas
preocupacion
incomodidad
locura
cansancio
desilusionado
terror
repudio
pensativo
desesperación
desconcierto
burla
hostilidad
aburrido
furia
protesta
asustada
suspicaz
emocionada
jovial
hartazgo
soprendida
sarcasmo
picardia
sufrimiento
horrorizada
tranquila
atemorizado
orgullo
extrañado
inocente
hambre
neutralidad
gracioso
sueño
irritado
horrorizado
distraído
ironía
decepcionado
aburrida
afligida
desconsolado
atemorizada
seguridad
sorna
chistoso
desagradable
sopresa
risueño
serio
afligido
lamento
placer
jocosa
decepcion
pensativa
distraída
berrinche
dudoso
tranquilo
desilusionada
jocoso
impotencia
desilusión
graciosa
irritable
odio
pensamiento
complacencia
bochorno
repulsión
sonrisa
esperanza
travesura
asqueado
atencion
desafiante
incomodo
pánico
angustia
optimista
impresionada
melancolía
bromista
ironico
chistosa
abandonado
trance
impresión
inquieto
angustiado
desilución
burlona
confianza
desconsolada
sonriente
inocencia
reflexión
malestar
lloroso
contención
cordialidad
curiosidad
ilusión
incomprensión
satisfacción
seducción
inconformidad
espontanea
amor
desorientación
coqueta
desencantado
aterrorizado
desconcertada
desconsuelo
cansada
culpable
sensualidad
ansiedad
boquiabierta
desencantada
confuso
descontento
desorientado
aterrorizada
distracción
miedoso
indecisión
pedante
impactado
confución
histeria
simpatico
nostalgia
rencor
angustiada
apatico
anhelo
intimidada
atonito
jubilo
falsedad
agrado
comodidad
atonita
fanfarrón
exhibicionismo
insolente
determinación
culpa
verguenza
intimidante
llorosa
inquietud
seria
actuación
reacción
temerosa
consentida
despresio
furiosa
brava
pacifico
burlón
malicioso
mimada
gruñon
desapruebo
extrañeza
horrible
desinteres
delicioso
